ligand_id,SMILES
0Y5_4GSY_A_301,[H]c1c([H])c(Oc2c([H])c(C([H])([H])[N@+]3([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(n4c([H])c(C([H])([H])[H])c(=O)n([H])c4=O)C3([H])[H])c([H])c([H])c2C(=O)[O-])c([H])c(C(F)(F)F)c1[H]
0YH_4H1J_A_701,[H]c1c([H])c(-c2c([H])c(N([H])C(=O)N([H])c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])nn3-c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])nn2[H])c(C([H])([H])[H])c([H])c1OC([H])([H])[H]
0YJ_4H1M_A_701,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-n1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1N([H])C(=O)N([H])c1c([H])c([H])c([H])c2c([H])c(C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])n([H])c12
0YN_4MHW_B_201,[H]OC([H])([H])C([H])([H])c1sc([H])c(C([H])([H])c2c([H])nc(C([H])([H])[H])nc2N([H])[H])c1C([H])([H])[H]
10H_4H7C_A_402,[H]C1=C([H])C([H])([H])N(c2c([H])c([H])c(S(=O)(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])[H])c([H])c2[H])C1=O
10N_4GU6_A_701,[H]c1nc(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c(C([H])([H])N([H])c2c(C#N)c([H])nc3c2c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])n3[H])c([H])c1[H]
11X_3FTW_A_710,[H]c1nc([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
12E_3MRT_A_920,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N([H])C(=S)N([H])/N=C(\[H])c2c([H])c([H])nc([H])c2[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
12M_2F62_A_401,[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H]
12M_4K8P_B_402,[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H]
12R_4IH5_A_601,[H]c1nc(N([H])N([H])c2c([H])c([H])c([H])c([H])c2[H])c2c([H])nn([H])c2n1
12Z_3RKB_A_457,[H]c1nc([H])c(/C([O-])=C2\[S+]=C(N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])N=C2N([H])[H])c([H])c1[H]
135_1GJA_B_251,[H]C1=C([H])C(=[N+]([H])C(=O)c2c([H])c([H])c([H])c([H])c2[O-])C([H])=C([H])C1=C(N([H])[H])N([H])[H]
